# op_code
00 no_operation
a0 or_c_=_c_or_!bit
a1 absolute_jump
a2 move_c=bit
a3 increment_data_pointer
a4 multiply_a*b
a6 move_@Ri=(direct)
a7 move_@Ri=(direct)
a8 move_Rn=(direct)
a9 move_Rn=(direct)
aa move_Rn=(direct)
ab move_Rn=(direct)
ac move_Rn=(direct)
ad move_Rn=(direct)
ae move_Rn=(direct)
af move_Rn=(direct)
b0 and_c=c^!bit
b1 absolute_call
b2 complement_bit
b3 complement_carry
b4 compare_and_jump_if_not_equal;_a<>constant
b5 compare_and_jump_if_not_equal;_a<>(direct)
b6 compare_and_jump_if_not_equal;_@Ri<>constant
b7 compare_and_jump_if_not_equal;_@Ri<>constant
b8 compare_and_jump_if_not_equal;_Rx<>constant
b9 compare_and_jump_if_not_equal;_Rx<>constant
ba compare_and_jump_if_not_equal;_Rx<>constant
bb compare_and_jump_if_not_equal;_Rx<>constant
bc compare_and_jump_if_not_equal;_Rx<>constant
bd compare_and_jump_if_not_equal;_Rx<>constant
be compare_and_jump_if_not_equal;_Rx<>constant
bf compare_and_jump_if_not_equal;_Rx<>constant
c0 stack_push
c1 absolute_jump
c2 clear_bit
c3 clear_carry
c4 swap_A(0-3)_<->_A(4-7)
c5 exchange_A<->(direct)
c6 exchange_A<->@Ri
c7 exchange_A<->@Ri
c8 exchange_A<->Rn
c9 exchange_A<->Rn
ca exchange_A<->Rn
cb exchange_A<->Rn
cc exchange_A<->Rn
cd exchange_A<->Rn
ce exchange_A<->Rn
cf exchange_A<->Rn
d0 stack_pop
d1 absolute_call
d2 set_bit
d3 set_carry
d4 decimal_adjust_(A)
d5 decrement_and_jump_if_not_zero_(direct)
d6 exchange_digit_A<->Ri
d7 exchange_digit_A<->Ri
d8 decrement_and_jump_if_not_zero
d9 decrement_and_jump_if_not_zero
da decrement_and_jump_if_not_zero
db decrement_and_jump_if_not_zero
dc decrement_and_jump_if_not_zero
dd decrement_and_jump_if_not_zero
de decrement_and_jump_if_not_zero
df decrement_and_jump_if_not_zero
e0 move_A=(dptr)
e1 absolute_jump
e2 move_A=(@Ri)
e3 move_A=(@Ri)
e4 clear_accumulator
e5 move_A=(direct)
e6 move_A=@Ri
e7 move_A=@Ri
e8 move_A=Rn
e9 move_A=Rn
ea move_A=Rn
eb move_A=Rn
ec move_A=Rn
ed move_A=Rn
ee move_A=Rn
ef move_A=Rn
f0 move_(dptr)=A
f1 absolute_call
f2 move_(@Ri)=A
f3 move_(@Ri)=A
f4 complement_accumulator
f5 move_(direct)=A
f6 move_@Ri=A
f7 move_@Ri=A
f8 move_Rn=A
f9 move_Rn=A
fa move_Rn=A
fb move_Rn=A
fc move_Rn=A
fd move_Rn=A
fe move_Rn=A
ff move_Rn=A
